fx1,fx2,fx3,fx4,fx5,y
240,151,140,48,496,"""?"""
272,226,144,257,333,"""?"""
374,226,406,245,459,"""?"""
239,457,407,238,432,"""?"""
446,428,400,193,287,"""?"""
457,446,416,257,255,"""?"""
464,446,432,304,496,"""?"""
277,186,174,224,494,"""?"""
231,134,289,225,496,"""?"""
253,123,144,125,279,"""?"""
291,216,288,176,365,"""?"""
437,442,425,257,505,"""?"""
378,346,320,166,294,"""?"""
286,265,240,59,257,"""?"""
240,183,182,71,496,"""?"""
203,256,361,422,521,"""?"""
319,266,390,306,405,"""?"""
363,227,430,240,398,"""?"""
352,257,441,274,486,"""?"""
284,172,181,49,382,"""?"""
342,215,216,82,361,"""?"""
437,432,371,203,350,"""?"""
295,146,160,231,506,"""?"""
451,202,228,158,329,"""?"""
204,173,106,64,342,"""?"""
443,440,418,218,493,"""?"""
272,166,209,79,451,"""?"""
432,256,219,117,493,"""?"""
298,221,173,45,519,"""?"""
351,303,196,224,302,"""?"""
368,253,496,258,356,"""?"""
197,476,469,218,447,"""?"""
450,429,437,223,272,"""?"""
430,339,375,179,306,"""?"""
357,346,363,207,487,"""?"""
311,200,170,135,491,"""?"""
306,211,212,288,489,"""?"""
311,189,135,111,405,"""?"""
304,186,258,270,393,"""?"""
343,384,373,207,202,"""?"""
418,472,464,224,251,"""?"""
298,231,202,113,402,"""?"""
299,193,189,87,490,"""?"""
317,233,432,272,500,"""?"""
336,253,336,255,498,"""?"""
223,192,447,208,328,"""?"""
293,256,445,266,511,"""?"""
304,224,198,21,405,"""?"""
261,190,168,37,359,"""?"""
408,466,452,226,336,"""?"""
323,219,164,240,507,"""?"""
419,185,144,31,337,"""?"""
287,166,157,64,363,"""?"""
461,432,416,272,538,"""?"""
318,240,173,46,496,"""?"""
420,199,157,48,528,"""?"""
325,239,203,26,471,"""?"""
240,224,167,234,445,"""?"""
266,227,279,179,464,"""?"""
300,466,469,197,352,"""?"""
374,394,375,85,371,"""?"""
413,455,437,157,430,"""?"""
414,400,405,182,385,"""?"""
272,176,162,215,483,"""?"""
189,160,266,398,477,"""?"""
304,304,210,156,391,"""?"""
289,264,362,257,442,"""?"""
412,460,458,265,448,"""?"""
387,437,444,240,465,"""?"""
337,304,257,123,397,"""?"""
249,192,163,27,506,"""?"""
357,305,410,223,483,"""?"""
391,374,402,282,495,"""?"""
237,226,465,203,455,"""?"""
203,199,426,255,465,"""?"""
259,267,214,27,368,"""?"""
311,276,203,11,435,"""?"""
392,440,442,218,477,"""?"""
336,209,184,279,523,"""?"""
387,209,173,16,373,"""?"""
336,268,211,69,397,"""?"""
351,366,339,138,398,"""?"""
306,219,219,19,491,"""?"""
400,263,226,74,511,"""?"""
269,205,191,21,496,"""?"""
279,255,182,281,325,"""?"""
296,266,453,214,360,"""?"""
257,449,444,202,391,"""?"""
387,353,277,131,400,"""?"""
412,402,407,250,405,"""?"""
322,411,401,234,493,"""?"""
288,265,197,161,506,"""?"""
358,297,483,154,494,"""?"""
301,182,122,36,339,"""?"""
254,261,471,123,304,"""?"""
414,455,379,277,474,"""?"""
400,449,426,277,481,"""?"""
336,311,253,50,240,"""?"""
293,239,188,17,455,"""?"""
275,281,394,209,482,"""?"""
368,324,393,253,465,"""?"""
208,178,443,222,409,"""?"""
300,217,435,242,485,"""?"""
292,297,209,48,391,"""?"""
357,259,208,46,422,"""?"""
399,448,429,213,359,"""?"""
321,240,179,213,480,"""?"""
400,253,160,18,378,"""?"""
384,275,201,66,354,"""?"""
440,439,415,277,530,"""?"""
243,197,187,30,486,"""?"""
421,295,235,65,486,"""?"""
450,349,288,180,479,"""?"""
388,352,201,272,395,"""?"""
327,253,434,258,386,"""?"""
272,490,438,258,416,"""?"""
368,351,365,105,365,"""?"""
394,434,417,267,400,"""?"""
406,434,414,240,499,"""?"""
308,186,178,155,485,"""?"""
303,251,283,384,446,"""?"""
232,264,137,113,369,"""?"""
323,287,382,327,399,"""?"""
357,432,451,274,369,"""?"""
368,431,425,232,394,"""?"""
312,260,170,44,331,"""?"""
383,303,227,39,493,"""?"""
395,348,420,283,496,"""?"""
350,272,390,299,469,"""?"""
238,233,467,217,389,"""?"""
400,299,465,259,510,"""?"""
320,239,190,64,304,"""?"""
319,238,204,34,343,"""?"""
406,448,432,208,412,"""?"""
379,235,173,333,494,"""?"""
338,370,346,347,319,"""?"""
382,288,231,110,269,"""?"""
412,400,400,307,518,"""?"""
320,282,245,48,493,"""?"""
368,218,261,69,480,"""?"""
387,240,208,39,509,"""?"""
318,224,205,370,410,"""?"""
311,244,448,348,414,"""?"""
254,466,477,251,403,"""?"""
385,368,306,113,346,"""?"""
373,468,420,233,406,"""?"""
413,466,416,219,493,"""?"""
301,167,167,287,494,"""?"""
338,264,339,240,494,"""?"""
307,237,133,69,366,"""?"""
329,239,214,347,445,"""?"""
309,400,375,230,291,"""?"""
368,481,474,321,496,"""?"""
358,218,225,57,256,"""?"""
366,183,178,42,504,"""?"""
349,259,345,368,486,"""?"""
372,278,344,351,461,"""?"""
319,260,447,183,294,"""?"""
379,268,448,249,504,"""?"""
372,311,234,16,299,"""?"""
341,183,148,35,272,"""?"""
349,475,458,261,415,"""?"""
341,206,175,361,466,"""?"""
400,224,167,268,400,"""?"""
379,201,181,91,489,"""?"""
418,399,378,143,536,"""?"""
331,252,263,48,494,"""?"""
423,52,192,18,494,"""?"""
249,168,156,21,487,"""?"""
263,182,177,240,341,"""?"""
315,209,461,132,349,"""?"""
302,479,451,112,349,"""?"""
363,317,315,90,257,"""?"""
435,374,357,87,283,"""?"""
412,347,353,148,309,"""?"""
254,151,151,194,458,"""?"""
261,171,239,357,485,"""?"""
277,167,202,85,306,"""?"""
314,228,307,188,351,"""?"""
450,493,460,137,307,"""?"""
452,482,238,138,307,"""?"""
287,193,240,32,210,"""?"""
283,173,146,11,481,"""?"""
407,227,373,333,496,"""?"""
308,240,390,284,509,"""?"""
240,225,452,112,336,"""?"""
240,176,448,271,410,"""?"""
273,240,183,18,446,"""?"""
246,188,205,14,314,"""?"""
448,480,458,111,336,"""?"""
246,157,157,219,455,"""?"""
464,181,178,111,263,"""?"""
272,193,176,55,460,"""?"""
364,341,346,144,323,"""?"""
303,229,225,50,389,"""?"""
465,199,176,49,477,"""?"""
282,172,149,26,493,"""?"""
288,192,182,181,344,"""?"""
287,196,445,239,384,"""?"""
341,435,455,289,439,"""?"""
436,359,328,123,270,"""?"""
