fx1,fx2,fx3,fx4,fx5,y
240,151,140,48,496,"""ا"""
272,226,144,257,333,"""ب"""
374,226,406,245,459,"""ت"""
239,457,407,238,432,"""ث"""
446,428,400,193,287,"""ج"""
457,446,416,257,255,"""ح"""
464,446,432,304,496,"""خ"""
277,186,174,224,494,"""د"""
231,134,289,225,496,"""ذ"""
253,123,144,125,279,"""ر"""
291,216,288,176,365,"""ز"""
437,442,425,257,505,"""س"""
378,346,320,166,294,"""ش"""
286,265,240,59,257,"""ص"""
240,183,182,71,496,"""ض"""
203,256,361,422,521,"""ط"""
319,266,390,306,405,"""ظ"""
363,227,430,240,398,"""ع"""
352,257,441,274,486,"""غ"""
284,172,181,49,382,"""ف"""
342,215,216,82,361,"""ق"""
437,432,371,203,350,"""ك"""
295,146,160,231,506,"""ل"""
451,202,228,158,329,"""م"""
204,173,106,64,342,"""ن"""
443,440,418,218,493,"""ه"""
272,166,209,79,451,"""و"""
432,256,219,117,493,"""ي"""
298,221,173,45,519,"""ا"""
351,303,196,224,302,"""ب"""
368,253,496,258,356,"""ت"""
197,476,469,218,447,"""ث"""
450,429,437,223,272,"""ج"""
430,339,375,179,306,"""ح"""
357,346,363,207,487,"""خ"""
311,200,170,135,491,"""د"""
306,211,212,288,489,"""ذ"""
311,189,135,111,405,"""ر"""
304,186,258,270,393,"""ز"""
343,384,373,207,202,"""س"""
418,472,464,224,251,"""ش"""
298,231,202,113,402,"""ص"""
299,193,189,87,490,"""ض"""
317,233,432,272,500,"""ط"""
336,253,336,255,498,"""ظ"""
223,192,447,208,328,"""ع"""
293,256,445,266,511,"""غ"""
304,224,198,21,405,"""ف"""
261,190,168,37,359,"""ق"""
408,466,452,226,336,"""ك"""
323,219,164,240,507,"""ل"""
419,185,144,31,337,"""م"""
287,166,157,64,363,"""ن"""
461,432,416,272,538,"""ه"""
318,240,173,46,496,"""و"""
420,199,157,48,528,"""ي"""
325,239,203,26,471,"""ا"""
240,224,167,234,445,"""ب"""
266,227,279,179,464,"""ت"""
300,466,469,197,352,"""ث"""
374,394,375,85,371,"""ج"""
413,455,437,157,430,"""ح"""
414,400,405,182,385,"""خ"""
272,176,162,215,483,"""د"""
189,160,266,398,477,"""ذ"""
304,304,210,156,391,"""ر"""
289,264,362,257,442,"""ز"""
412,460,458,265,448,"""س"""
387,437,444,240,465,"""ش"""
337,304,257,123,397,"""ص"""
249,192,163,27,506,"""ض"""
357,305,410,223,483,"""ط"""
391,374,402,282,495,"""ظ"""
237,226,465,203,455,"""ع"""
203,199,426,255,465,"""غ"""
259,267,214,27,368,"""ف"""
311,276,203,11,435,"""ق"""
392,440,442,218,477,"""ك"""
336,209,184,279,523,"""ل"""
387,209,173,16,373,"""م"""
336,268,211,69,397,"""ن"""
351,366,339,138,398,"""ه"""
306,219,219,19,491,"""و"""
400,263,226,74,511,"""ي"""
269,205,191,21,496,"""ا"""
279,255,182,281,325,"""ب"""
296,266,453,214,360,"""ت"""
257,449,444,202,391,"""ث"""
387,353,277,131,400,"""ج"""
412,402,407,250,405,"""ح"""
322,411,401,234,493,"""خ"""
288,265,197,161,506,"""د"""
358,297,483,154,494,"""ذ"""
301,182,122,36,339,"""ر"""
254,261,471,123,304,"""ز"""
414,455,379,277,474,"""س"""
400,449,426,277,481,"""ش"""
336,311,253,50,240,"""ص"""
293,239,188,17,455,"""ض"""
275,281,394,209,482,"""ط"""
368,324,393,253,465,"""ظ"""
208,178,443,222,409,"""ع"""
300,217,435,242,485,"""غ"""
292,297,209,48,391,"""ف"""
357,259,208,46,422,"""ق"""
399,448,429,213,359,"""ك"""
321,240,179,213,480,"""ل"""
400,253,160,18,378,"""م"""
384,275,201,66,354,"""ن"""
440,439,415,277,530,"""ه"""
243,197,187,30,486,"""و"""
421,295,235,65,486,"""ي"""
450,349,288,180,479,"""ا"""
388,352,201,272,395,"""ب"""
327,253,434,258,386,"""ت"""
272,490,438,258,416,"""ث"""
368,351,365,105,365,"""ج"""
394,434,417,267,400,"""ح"""
406,434,414,240,499,"""خ"""
308,186,178,155,485,"""د"""
303,251,283,384,446,"""ذ"""
232,264,137,113,369,"""ر"""
323,287,382,327,399,"""ز"""
357,432,451,274,369,"""س"""
368,431,425,232,394,"""ش"""
312,260,170,44,331,"""ص"""
383,303,227,39,493,"""ض"""
395,348,420,283,496,"""ط"""
350,272,390,299,469,"""ظ"""
238,233,467,217,389,"""ع"""
400,299,465,259,510,"""غ"""
320,239,190,64,304,"""ف"""
